latitude,longitude,flooded_2018,flooded_2019,flooded_2021,flood_history_count,risk,ksdma_zone,elevation,slope,river_distance,drainage_density,annual_rainfall_mm,extreme_rain_events
9.981630279494064,75.75358043687307,1,1,0,2,High,5,0.0,0.0,49.575,0.0,3153.2,7
11.232085154988438,75.61973145953927,0,0,1,1,Medium,5,0.0,0.0,16.318,0.0,3243.6,2
8.65661523541777,75.5523578132303,1,1,0,2,High,5,0.0,0.0,10.0,0.0,2449.2,1
11.419833049369418,76.03205817495012,0,0,0,0,Low,1,163.0,0.0,0.474,1.0,4735.0,17
12.643338466340206,76.31682412001601,1,1,0,2,High,1,844.0,0.0,0.516,0.18,1186.3,0
9.228842071401903,76.16590715228394,0,0,0,0,Low,5,0.0,0.0,25.455,0.0,2825.2,0
8.73117540399969,76.03834638193896,1,0,0,1,Medium,5,0.0,0.0,59.859,0.0,2535.3,0
11.365934132322248,75.48857742805781,0,0,0,0,Low,5,0.0,0.0,19.232,0.0,3243.6,2
9.205485874014798,76.65369235156084,1,1,1,3,High,5,4.0,0.0,0.15,1.0,3850.1,2
11.757599596198355,77.49810871863318,1,0,0,1,Medium,1,1201.0,0.0,1.719,0.0,1496.1,0
12.538235578098222,76.46055456547514,1,1,1,3,High,1,748.0,0.0,0.148,0.18,1180.6,0
9.455217523000025,76.3671297759267,1,0,1,2,High,5,1.0,0.0,0.409,1.0,2913.7,2
10.110987680407275,75.78142821068077,1,1,0,2,High,5,0.0,0.0,42.179,0.0,3153.2,7
8.804837257297491,75.54067971453675,1,1,0,2,High,5,0.0,0.0,10.0,0.0,2449.2,1
9.704050856701132,75.33676214504162,0,0,1,1,Medium,5,0.0,0.0,10.0,0.0,2784.0,6
9.46240404527298,76.71747273673331,0,0,0,0,Low,3,32.0,0.0,0.055,1.0,3919.6,2
8.493121853708017,76.91600041452374,1,0,1,2,High,4,11.0,0.0,0.074,0.2,2693.6,2
10.583501519854144,75.49935721146724,1,0,0,1,Medium,5,0.0,0.0,50.412,0.0,2948.9,5
11.278797549762652,76.98157743026445,1,1,1,3,High,1,342.0,0.0,1.156,0.0,1272.0,0
10.394855310189044,77.0390696084481,1,0,1,2,High,1,1144.0,0.0,0.511,0.03,1396.2,0
10.2178871992175,76.28178982393536,0,0,0,0,Low,4,16.0,0.0,0.107,0.39,3694.0,6
9.176739784922972,75.55954433550326,1,1,0,2,High,5,0.0,0.0,10.0,0.0,2666.2,3
10.698485876221442,76.7534053480981,0,0,0,0,Low,1,135.0,0.0,0.024,1.0,2061.8,2
10.043614034098312,76.58362375939952,0,0,0,0,Low,4,27.0,0.0,0.124,1.0,4204.6,4
10.764961207246287,75.68530847527998,1,0,1,2,High,5,0.0,0.0,24.826,0.0,3049.9,6
12.040568910696008,76.58362375939952,0,0,0,0,Low,1,717.0,0.0,1.594,0.0,1418.1,0
10.745198270995658,75.91437887273047,1,1,1,3,High,5,0.0,0.0,2.175,0.0,3094.8,3
12.757424507423384,77.2780214740239,1,1,1,3,High,1,754.0,0.0,1.606,0.0,1196.3,0
10.632908860480716,75.73291918533832,1,0,0,1,Medium,5,0.0,0.0,24.758,0.0,3049.9,6
9.57559177107204,75.35113518958752,0,0,1,1,Medium,5,0.0,0.0,10.0,0.0,2732.0,6
10.995828235265003,75.57481569533329,0,0,0,0,Low,5,0.0,0.0,30.557,0.0,3120.2,3
10.386770472631968,74.88670618769773,0,0,1,1,Medium,5,0.0,0.0,10.0,0.0,2748.0,6
10.23226024376341,77.00223868179921,0,0,0,0,Low,1,1107.0,0.0,0.231,0.19,5037.6,19
9.139010542989952,76.59440354280895,0,0,0,0,Low,4,26.0,0.0,0.354,1.0,3059.4,0
9.418386596351125,77.17471521635015,0,0,0,0,Low,1,1175.0,0.0,0.231,0.76,2406.7,0
11.181779499077743,75.66644385431347,0,0,1,1,Medium,5,0.0,0.0,13.161,0.0,3677.2,3
12.714305373785647,75.20650642884428,0,0,0,0,Low,1,138.0,0.0,2.175,0.0,4053.0,5
11.988466624217075,75.24154072492495,0,0,0,0,Low,5,0.0,0.0,2.12,0.0,3403.8,3
11.089253024813434,75.46162796953422,0,0,0,0,Low,5,0.0,0.0,37.754,0.0,3120.2,3
11.034455792482143,75.98893904131239,1,1,1,3,High,5,6.0,0.0,0.427,0.06,3606.8,3
9.69057612743934,76.43809668337215,1,1,1,3,High,5,0.0,0.0,0.015,1.0,4110.9,3
12.09177288189082,77.49361714221259,0,0,0,0,Low,1,588.0,0.0,3.404,0.0,1156.1,0
12.743949778161593,76.70399800747153,0,0,0,0,Low,1,885.0,0.0,1.884,0.0,1159.0,0
9.494743395501285,75.45264481669304,0,0,0,0,Low,5,0.0,0.0,10.0,0.0,2662.4,5
10.57362005172883,76.10661834353205,1,1,1,3,High,5,2.0,0.0,0.194,1.0,3249.2,4
9.636677210392168,74.83640053178704,0,0,1,1,Medium,5,0.0,0.0,10.0,0.0,2548.2,3
10.900606815148334,74.84358705406,0,0,1,1,Medium,5,0.0,0.0,10.0,0.0,2843.1,5
12.350487683717242,77.14596912725833,0,0,0,0,Low,1,603.0,0.0,2.045,0.0,1182.1,0
9.10577287747753,74.8390954776394,0,0,0,0,Low,5,0.0,0.0,10.0,0.0,2364.9,2
10.10020789699784,75.86047995568329,1,1,0,2,High,5,0.0,0.0,34.177,0.0,3153.2,7
9.431861325612918,76.36892640649495,1,1,1,3,High,5,-1.0,0.0,0.085,1.0,2913.7,2
11.438697670335928,76.84144024594181,0,0,0,0,Low,1,1978.0,0.0,1.619,0.0,1121.5,0
8.310763851031755,76.42282532354211,1,0,0,1,Medium,5,0.0,0.0,53.47,0.0,2171.5,1
11.934567707169904,75.65117249448345,0,0,0,0,Low,2,75.0,0.0,1.437,0.0,4456.9,15
10.303227151208851,76.67076034195911,0,0,0,0,Low,1,510.0,0.0,0.491,0.15,4472.9,8
9.963663973811672,75.73381750062244,1,1,0,2,High,5,0.0,0.0,52.175,0.0,3153.2,7
11.186271075498343,76.55667430087593,1,0,0,1,Medium,1,1619.0,0.0,0.872,0.13,3764.9,20
8.870414273038216,76.72825252014275,0,0,0,0,Low,4,18.0,0.0,0.221,1.0,2695.8,1
10.53409417922757,77.28880125743333,0,0,0,0,Low,1,351.0,0.0,0.634,0.16,1301.0,0
11.776464217164868,76.23597574444526,0,0,0,0,Low,1,824.0,0.0,0.121,0.64,2223.1,0
10.649078535594867,75.16787887162714,0,0,1,1,Medium,5,0.0,0.0,10.0,0.0,2755.6,5
9.737288522213554,74.84538368462823,0,0,1,1,Medium,5,0.0,0.0,10.0,0.0,2548.2,3
10.393058679620804,76.27101004052592,1,1,1,3,High,5,2.0,0.0,0.048,1.0,3533.7,5
10.636502121617196,75.86586984738801,1,1,1,3,High,5,0.0,0.0,11.409,0.0,3049.9,6
8.550614031891666,76.13805937847623,0,0,0,0,Low,5,0.0,0.0,59.626,0.0,2427.8,0
9.661830038347514,76.43989331394039,1,1,1,3,High,5,0.0,0.0,0.047,1.0,4110.9,3
9.23602859367486,76.92318693679668,0,0,0,0,Low,2,89.0,0.0,0.27,0.52,3849.9,2
11.109015961064063,75.09062375719286,0,0,1,1,Medium,5,0.0,0.0,74.383,0.0,2804.6,3
9.734593576361195,75.84970017227386,1,1,0,2,High,5,0.0,0.0,47.23,0.0,2925.3,6
